SOYAD, SAYI
IYIDERMAN,9
ADSIN,9
BUYUKMEYDAN,9
KENANLAR,9
DOLAPKIRAN,9
VEFALIER,9
TATLIMAVUK,9
IYIOPRUK,9
UCBEYIAY,9
BUYUKDAGLIOGLU,9
KURKDIKEN,9
OZPEMBE,9
YETISDIREN,9
OZYIR,9
FILORYA,9
HOZMEN,9
EKERTURK,9
OZSOYLULAR,9
SORKUNCU,9
FAKILARLI,9
KAVUSAH,9
TOLUNBUKE,9
RENKLIKECECI,9
TUZLUKCULU,9
KULGOMEN,9
BAHTIYARCA,9
YIGITKILICOGLU,9
SEMDINOGULLARI,9
HARELI,9
KOMIDIK,9
BASDALYANLI,9
CATALGOZ,9
EMIRBASOGLU,9
MODOOGLU,9
TUNAHANLI,9
SEYDIHANOGLU,9
BAYILDICI,9
PIRAHMETOGLU,9
UYUKTAS,9
HOCULU,9
SAVASTAS,9
TIMBEK,9
COKYOKSUL,9
GOZKAPAN,9
MENDELIC,9
KIRSAKA,9
HOLLUTOGLU,9
CUKER,9
KELANGIN,9
NARGELE,9
GORATAS,9
CITIRIKLI,9
KARASAYILI,9
ERGUCEN,9
EREUR,9
UYRAN,9
SARIKUL,9
KARD,9
GURO,9
BAYLANOZ,9
DIZDOVEN,9
SENOLUN,9
ELINGI,9
KUCUKBADAK,9
GURSAZ,9
ANDAR,9
ONZEHIR,9
BABUK,9
ERILGUY,9
HALAV,9
ONTAY,9
SOMRU,9
SENERDIR,9
EMECIKLI,9
OZENE,9
ICLIONEM,9
TURKCIGDEM,9
YANDAN,9
KESTIS,9
CAMEVLI,9
UTAY,9
KABEL,9
CAMLIBURUN,9
ERSATIR,9
YUKARICA,9
TEPELENMEZ,9
ATTUNI,9
YARLUGLUOZ,9
KARACAAGAC,9
BAYYETGIN,9
OZDEYER,9
SIMSIRIK,9
CAMSARILIOGLU,9
BASSOZKESEN,9
TASCAGIZ,9
MENSIZ,9
PERMI,9
OZTEKKOK,9
BACUN,9
KOKOCIN,9
ULUTASCI,9
OZKAIZ,9
KUSECE,9
DIMREN,9
GEZDIK,9
KURTKARDES,9
ATAMULU,9
GULHUYUGU,9
KARABAHAR,9
AKKOZE,9
ATIKKURT,9
BERKBILEK,9
SESLEYEN,9
ELASMAZ,9
HEMIT,9
ZORAGITMEZ,9
UGRAKLI,9
OZAKSAKAL,9
BERKTEN,9
YORUG,9
TORNACIOGULLARI,9
KOLAYBULAN,9
GURCANTAS,9
TASALP,9
KIYVAN,9
PANDIROGLU,9
ISALDIOGLU,9
CEFIK,9
GIROGLAN,9
AZDEROGLU,9
MANASOGLU,9
KORULACAK,9
BUYUKKAMBER,9
SAVAKI,9
POGAOGLU,9
ELIMDAR,9
KOCACIKTAN,9
ELDIP,9
SEHRIBANOGULLARI,9
SEMREN,9
BATALIOGLU,9
KOCABEKIROGLU,9
UZTURER,9
FASALOGLU,9
SURABAY,9
BOZDAGLAYAN,9
SAKRIL,9
CELEBIGILLER,9
DURMAZSU,9
KINALIBALA,9
ALD,9
MALICOGLU,9
KOGALAR,9
GULENYUZ,9
TUTLUPINAR,9
SASTIOGLU,9
ABAKOC,9
CORTNE,9
OFLUGIL,9
ALIYILMAZ,9
SAMKIN,9
BOYKEN,9
KORDUN,9
KURUVELIOGLU,9
KUSTAK,9
TAIS,9
TUMREZ,9
CURGUN,9
KAPTICI,9
BENZEMIS,9
GUKUM,9
CANBEYAR,9
YAVUZPOLAT,9
TANBI,9
KEBBAT,9
HAKKANOGLU,9
MIISOGLU,9
SULUBOGA,9
KAVARET,9
ERGEM,9
MALBORO,9
KIYDIC,9
YASIRTI,9
INERCIN,9
YAGMURESEN,9
TEREBANLI,9
MINDES,9
BATCU,9
ZINAR,9
DIREYI,9
CETINFIRAT,9
KOSANLIOGLU,9
PEKVARDAR,9
KARAGOZLI,9
BADEKIL,9
SOYCOGAN,9
CICEKLE,9
ATESEVEN,9
HOCAN,9
BALIKANLI,9
FEZE,9
ARSANOGLU,9
KARAKULHANCI,9
MIZRE,9
OZSEYHANLIOGLU,9
DEMIRAGI,9
SAHVALI,9
KACUT,9
MUTEBER,9
MURATER,9
BAGARTUR,9
YOLATAN,9
BUYUKBOYTAS,9
BADU,9
GAYIROGLU,9
PEHLIVANO,9
YILMANER,9
BOBILIK,9
KARABURME,9
KONAKER,9
PETRIK,9
KARAMANO,9
HALVAC,9
AKCAHARMAN,9
DARDA,9
FEYIMOGLU,9
HARMANIZI,9
CAVDARLIYIGIT,9
YONBAY,9
SOYKAT,9
DIVER,9
IRILMAZBILEK,9
KODABEY,9
DEMIRDUKEN,9
SANKILICOGLU,9
AKBILEN,9
SINOOGLU,9
TEVLIN,9
GENBAY,9
OZOMEK,9
OZALTUNBAS,9
BARUTYAKAN,9
ETBICER,9
CANGURUS,9
UZUNCU,9
SIRLAY,9
SAKIZLIGIL,9
EYGU,9
MAKA,9
ABASIZLAR,9
EYUPAGAOGLU,9
ERSANAL,9
CILCIMELIOGLU,9
KAYRISI,9
HANIFIOGLU,9
OZULUR,9
SOYBAKICI,9
OLDIC,9
BOLVADIN,9
CAKKES,9
YETGINAKIN,9
ILASLI,9
AKSANAKLU,9
AKCAKAZA,9
YASTIKLIKAYA,9
GERMIRTER,9
COPKULAS,9
IYLEK,9
KEZGI,9
IZBODAK,9
MAVIGIL,9
EGRIPINAR,9
TUZYURDU,9
AYGURLU,9
YUCELBAS,9
DONERCE,9
NORK,9
TEMYIZ,9
ARDICYAKA,9
SONYAKA,9
OZHANTAS,9
MANZAR,9
SELEKEL,9
ISBANA,9
YAKLAR,9
KAYGIZIZ,9
CAGBARUL,9
KODET,9
KARAKUSOG,9
KEKESAR,9
OZYORUKOGULLARI,9
UZKOL,9
ANKAL,9
SIHOGULLARI,9
PEKERIC,9
OZKOKCE,9
CANSARAC,9
ALTUNKOZAOGLU,9
BEHCAN,9
SAROGLUKAHRAMANI,9
KIDIM,9
SEKMER,9
BAHTINAGUL,9
KABDAGLI,9
YITIRMEZ,9
YAVUMEN,9
AKKANOGULLARI,9
KIVANCI,9
GURLEYENSOY,9
VIRIZ,9
KIRCALLIOGLU,9
TAMBIL,9
BOGAZCI,9
NAYIMOGLU,9
ERKAVIN,9
DUGURAN,9
BUYENC,9
TEYMURLENK,9
SEYITLIGIL,9
TAYSEN,9
VINNAR,9
GETEK,9
ALKOVAN,9
NEOLURSA,9
SERTDAMAR,9
ELMASCIK,9
ARGEM,9
BANDUR,9
DALDIP,9
LESEN,9
CELIKTENLI,9
INLEK,9
UGAZ,9
KEREMSOY,9
ACIKURT,9
SEYMENLILER,9
GINYILDIZ,9
SESIN,9
HACIEMIN,9
DOGTAY,9
ONREN,9
TOKKAZAN,9
STIK,9
DEMIRDEL,9
PAJDER,9
CIBAOGLU,9
BURSLAN,9
CIKIKCILAR,9
AYOKU,9
RAZLUK,9
FOTAOGLU,9
DUGTAY,9
FILIZCILER,9
ACARSU,9
EVEGUR,9
ORCENLI,9
KUCUKDUGENCI,9
ILBILI,9
SENOKTAY,9
KANKULAK,9
DIMIDOA,9
GULUTAK,9
ERSISKO,9
DORULU,9
KIREVETOZEN,9
UNEKBAS,9
ERTIKIN,9
CIRAPCI,9
EVONAR,9
DULEKALP,9
VAYCAN,9
OZCELIKPENCE,9
CELIKVUCUT,9
KAMILAGAOGLU,9
KOLLAMALAR,9
ALAADINOGLU,9
KURTOREN,9
TUYECI,9
GERCELER,9
KAPSAN,9
YURDDOLASANER,9
SUBILIR,9
GUNHEN,9
TUNBEK,9
UCPINARLAR,9
UNUTTUM,9
UNEKCETIN,9
ISIGICOK,9
OBURAS,9
DIREKDIBI,9
SOYLASAN,9
BARISIKGIL,9
HISIMCIL,9
PLANYA,9
BALKANLAR,9
YENILEN,9
KARASILOGLU,9
OPAKALI,9
GONTEKI,9
ERILER,9
DIRINLI,9
KUTUKLULER,9
DINCAYAK,9
ERMINAZ,9
OZCANLIGILLER,9
OZARDIL,9
KENTUSAGI,9
SECKINSOY,9
CAKILLITEPE,9
DAGCICEK,9
PULANAY,9
ILGAZGIL,9
YUMAKCI,9
SENTABURLAR,9
CAMURKARAN,9
DUSES,9
ILIMDAROGLU,9
COKCALISAN,9
YETKILER,9
OZLUKURT,9
ARTARLAR,9
CINEZ,9
DULBIR,9
YASKAM,9
GOLBUCAKLI,9
KADIRGA,9
ADALYA,9
KIRANK,9
POSKOV,9
KIRCOGLU,9
TEMIZAS,9
SAREL,9
TAZEBAHAR,9
FILET,9
HUSGUNEL,9
BODUKCUOGLU,9
KUCUKKULAHLI,9
DINCMISIR,9
ESKINAY,9
IYREK,9
NEGUC,9
ELEKLI,9
KASBULAT,9
BUYUKKANBER,9
YENDEN,9
EMIKOGLU,9
UNSUREN,9
SAHYUNLU,9
OZETA,9
KIZLAR,9
AVSARKOCAOGLU,9
TRAPZON,9
MULLAHASANOGLU,9
BELANLI,9
TATLISARAP,9
YARATIG,9
SAGAC,9
SOCEN,9
ERDEMAK,9
CIGCE,9
AFLAZI,9
GULBAHAROGLU,9
SELBIN,9
YENEMUK,9
TAHHUS,9
ARUSI,9
KESKULOGLU,9
COKHAN,9
AKSULKU,9
BESEMEK,9
OZTANUTE,9
UNLUKUMRU,9
ODALAR,9
ERASLANKAYA,9
AKILLIER,9
ASIKOSMANOGLU,9
OZCAPARAZ,9
GUCUKEKINCI,9
UMRAL,9
MECNUNOGLU,9
BIROGULLARI,9
KERSENTAS,9
OZCUBUKTAR,9
CARPIN,9
TURKEMEN,9
UYNAP,9
GULBUS,9
PEKKIRIMLI,9
BAGDATLILI,9
EBRELI,9
GULSEFER,9
CETINBICAK,9
KIRECOGLU,9
SIVISLI,9
HODALA,9
TOKCAAR,9
ELKOC,9
DELMEC,9
OZBURMA,9
EZENDEMIR,9
PIREZREN,9
BASYIT,9
DEDIM,9
GULOYAR,9
TOZEM,9
EZCE,9
DALGAZ,9
KULLABCI,9
AYDINGIL,9
DAYANISLI,9
IYIALKAN,9
SULUKOY,9
SENLET,9
POTALAC,9
TEBISLIER,9
AHO,9
GUROGULLARI,9
FERIM,9
SEKERCIBASI,9
OZERTUG,9
BIYIKAYDIN,9
HAKANSU,9
BENDEMIR,9
OZDEVECIOGLU,9
ILDIREL,9
HAMLAKAY,9
SOLENGUL,9
VURUSANGUL,9
TIKICIK,9
SAKIRI,9
EREZSERT,9
OVAOGLU,9
EMRIK,9
YAVUZLARDAN,9
IZBAK,9
AYYALDIZ,9
TUNERTAL,9
CEKISLER,9
SEZISCI,9
TARIMSEVER,9
TOKERER,9
DILEKOZ,9
TATLIKAZAN,9
TOSUNYILMAZ,9
YAGTUG,9
COSANOZ,9
GURCANLILAR,9
DARGALI,9
CANSIRA,9
LOMANOGULLARI,9
BOZTINAZTEPE,9
YOLYORAN,9
AKKUSCUOGLU,9
TOPSEZER,9
ERYERCEL,9
ERZUN,9
TONGURLARLI,9
KIRCIVAN,9
NARTAV,9
PEKGUMRAH,9
ASE,9
UMES,9
TEMIZELLI,9
YOLSEN,9
DALBURAN,9
HERENI,9
ERSEHIT,9
TAPANSOY,9
ADAKCILAR,9
REYAN,9
YUNU,9
TANILKANGIL,9
SURLER,9
VERITOGLU,9
TAMKANLI,9
YAMANSUCU,9
PALLOS,9
ERIGIT,9
GURTUSGIL,9
ESENAKSU,9
OZINAG,9
SALLIKAYA,9
ALENDER,9
MUHTAZ,9
MUSAYIN,9
ZORUM,9
DUZUM,9
SATIKBUGA,9
OZGINC,9
GAYTANLI,9
DIRIAL,9
KARAMIN,9
KOLTUKLUOGLU,9
COVASLIK,9
ERBEM,9
PIMER,9
IBIMEK,9
KAPCAKLI,9
KUCUKDAGDELEN,9
KATICAM,9
GIRESON,9
BESILICOBAN,9
DEDEKAYA,9
CUNBEK,9
TURKSAHIN,9
CIMKILINC,9
KIYTIRAN,9
OSPAKLI,9
KASPANOGLU,9
BOLBABUC,9
OBUM,9
GOKCEKOCA,9
SONLUG,9
YODNEK,9
KAPADAYI,9
TEKBOGA,9
MISILLIOGLU,9
YILIM,9
PILER,9
KAKAOGLU,9
OZKARAHALLI,9
YURTULUG,9
KOSEME,9
CAMDEVIRMEZ,9
GUCLUBACAK,9
COPHUSEYINOGLU,9
TURABIOGLU,9
DOGANAKSOY,9
DARCANSOY,9
EVLENDE,9
AKTEKINOGLU,9
CEMELELI,9
YEPYENI,9
DIYEP,9
SEYITDANLIOGLU,9
MAGAROGLU,9
DOGANYUZ,9
HAYDAS,9
COLAKCAKIR,9
AKARCAOGLU,9
CIKMAZKARA,9
TEMELKOR,9
MERISAN,9
KUGIMEN,9
CUKURCAOGLU,9
ISIKOZ,9
GENCGOZ,9
IPEKDIZER,9
KIRDECIOGLU,9
ALGINSOY,9
MUTEVELI,9
ALTABAN,9
IZBIL,9
EROSMA,9
NISANOT,9
CIVCAROGLU,9
MORUN,9
TASCA,9
SOZUMCETIN,9
UYLAC,9
TUKMAZ,9
YETIMCI,9
ERKUNAN,9
GUNEGRI,9
MUSTAKLI,9
FIKRAK,9
TASGELDI,9
OKALMIS,9
KOLCIR,9
SINOPLUGIL,9
HOKELI,9
ELDIREKLI,9
ANAMOR,9
SAMUTO,9
CAKMAKHAN,9
CAYDANLI,9
BAHSIDEN,9
KALAR,9
SENLICE,9
ONULUR,9
ATARIM,9
KARAKISLI,9
ISKARAK,9
USANGAC,9
BOGI,9
ABANTLI,9
MARATOK,9
KIRMIZIDENIZ,9
YORKAYA,9
ODCIKAN,9
CONKARLIOGLU,9
OZDENFEDAKAR,9
KILELI,9
GULDOGSUN,9
KAHTAY,9
ELIHAYIRLI,9
SUTUTAR,9
KULCIN,9
SEVIMBIKE,9
ALASIKLIK,9
ATAYSEN,9
KORANOZ,9
DELIKABAK,9
BOGABAN,9
GONULLUK,9
CIKLACIVLEZ,9
BOYASIZOGLU,9
OZOGANLAR,9
KUCUKKAYMAKCI,9
YALCINBAY,9
BELLIGUL,9
CIDEN,9
TUCDOGAN,9
HAYDARBEYOGLU,9
CELENKCI,9
UMRU,9
SOYBUKE,9
ILDIN,9
KIRDAGUL,9
YANBOLOGLU,9
YONTKAN,9
BAYINTIR,9
YIRMIBESLIOGLU,9
ERSECGEN,9
KIRLIKAYA,9
EGRIDEMIR,9
IPEKGUL,9
CIGRE,9
SIDIROVA,9
IGBUKEN,9
BULADANLI,9
KIZILOZLUOGLU,9
OZMURUT,9
TAPCAN,9
UGDULLU,9
KOCAKUSAKOGULLARI,9
MARMARLI,9
YALTUS,9
TELASELI,9
SEVINCGIR,9
COLGIN,9
ALASYAR,9
CANGAZA,9
YIVIK,9
ATANLAR,9
BAYKALIR,9
PURAS,9
DIRAZO,9
BAYRAMLIK,9
DENGIDER,9
TUNCATAN,9
YARESER,9
BUYUKBATMAZ,9
CELEZAN,9
CURUDENLILER,9
KOSTALAK,9
SUVMAN,9
IRGINER,9
KOCKALE,9
EVILGEN,9
KOBAKLI,9
HAMURTAS,9
SINICELIOGLU,9
SOYGIT,9
OZGIRAN,9
KOCYIGITLER,9
ALPATAY,9
ASCETIN,9
FILERI,9
ETSAM,9
KARABILLER,9
ALANGEZEN,9
TIGZEYBEK,9
KITAT,9
ASMALIDERE,9
YAGCIKOYLU,9
AMANDAOGLU,9
TAGLUKTIMUR,9
GUNDUZTEKIN,9
SOFUCAN,9
PALASKAYA,9
VENC,9
AYBELDEK,9
GOGUZ,9
KOKACIN,9
ATAERI,9
DUVANOGLU,9
VARLITURK,9
ZAGLIOL,9
KARACANBAZ,9
TOKAYLI,9
BERGAZLIOGLU,9
KOLDANCI,9
DEZAR,9
GENCTEPE,9
UYLAN,9
OZBERTUN,9
OZSOLEN,9
BEYDEN,9
TOPANLAR,9
CANGAN,9
IPGIR,9
DARMANCI,9
KUNDUGAN,9
ILKSAR,9
CASAK,9
COMUZ,9
CALISGANER,9
TERYEKIOGLU,9
DEMIGAN,9
ACIKELEK,9
BUYUKAHISKA,9
YAGBAT,9
CAMBAGI,9
ZIKI,9
BUYUKDUMENCI,9
CAYGECMEZ,9
UZULU,9
YAHSIOGULLARI,9
KUCUKERIK,9
PANLIOGLU,9
KIZILVERANLIOGLU,9
BEGET,9
KERECLI,9
KAYDIYOK,9
BATIRICI,9
CAMCIER,9
TALAYI,9
BULZAL,9
TULICELIK,9
BESGI,9
ZEVAGAR,9
AYATO,9
MUNAK,9
BAGITLAYAN,9
ALAGAM,9
KURTBOGDU,9
NEZAN,9
KITKIT,9
HOHLUOGLU,9
URMUC,9
TUTIYA,9
SUYURDU,9
OYMANKALAYCI,9
ERIMRE,9
YASIRTA,9
KABAYALCIN,9
SENOTURAN,9
GULABACI,9
ALVARLI,9
KELKIL,9
BUYLUCU,9
BASHEKIMOGLU,9
ENEKU,9
SERGEC,9
ALTUNTASLI,9
RAYIF,9
SADETURK,9
SONCITRAZ,9
PERTIKALIN,9
GOZCULU,9
YETISKINER,9
CANTURE,9
DAMLAMCA,9
BUTAS,9
BELHIOGLU,9
GOSBAK,9
GULDUAR,9
CALGINBAS,9
DASKIR,9
KOSUNKAFA,9
COPGEVEN,9
HASIT,9
IYIDIRLI,9
AYGUNGIL,9
KUKBI,9
YOKUSSOY,9
YOKARITEPE,9
ULUYAGCI,9
KOSARYILMAZ,9
HOSYUMRUK,9
ERGINKOL,9
AKOYA,9
GAZEY,9
ABRAVACI,9
CIKMAL,9
KOKUER,9
BUYUKCIFTCIOGLU,9
CIFTAN,9
OYMANLI,9
AKELER,9
USTTUNALI,9
OZLEVBAS,9
KOZANYAZ,9
TEZAKIL,9
KARADUDU,9
ILISKEN,9
ULUASK,9
GUMUSSABAN,9
USTMERT,9
TUSSIZ,9
DENKDENIZ,9
AKAKAY,9
ESKICESME,9
CAYIB,9
SESLENLER,9
SOYLAG,9
ALATI,9
YALCINOGULLARI,9
RUMAN,9
SESIZOGLU,9
CEYHANLAR,9
EYIKUPELI,9
KEBABCIDEVELI,9
DOSUCUKUR,9
BELLET,9
GOUS,9
IZCIKILIC,9
SILKI,9
KARADALEREN,9
BILKENLI,9
KOYUNALAN,9
MAZMANER,9
SUYASAPAN,9
GUZGOZEL,9
EVSIN,9
IYIEKICI,9
SABULAK,9
SIHTUG,9
KUCUKATABINEN,9
GUKERCIN,9
BUYUKSARIKAYA,9
OZNEP,9
SIPARIS,9
KAIMOGLU,9
KAVASBASIOGLU,9
GUNEZLER,9
HAYATCI,9
KUYCAKLI,9
TAYFAOGLU,9
KADIASKEROGLU,9
HACIBIYIKOGLU,9
HEBEK,9
ORTAAPTAL,9
OZGOVERCIKLI,9
MIYET,9
INCEUSTAOGLU,9
DADAYLIOGLU,9
HUSEYINPEHLIVANOGLU,9
YETIMKAYISOGLU,9
EYYUPCUOGLU,9
DEMIRDUMAN,9
KARAYAMRUK,9
HOTULCA,9
DUZCUOSMANOG,9
GOCBASI,9
KOKKOYUN,9
OZNOMEN,9
ALTOKA,9
SOYCADIRCI,9
VURANBAS,9
HATTATI,9
TELTELICI,9
TAKMAOGLU,9
YELKARA,9
TEVKIN,9
GULEBEO,9
GOKSENO,9
OZBALDOKTU,9
HASBALTACI,9
UZATMA,9
FAKIO,9
HASKUS,9
OZKIRSEHIRLIOGLU,9
LIVTOPUZ,9
SIRSAKLAR,9
KURUMLAR,9
SAHINSOZ,9
KOLDASGIL,9
NALCACIO,9
DUMANOGLUGIL,9
COLLOV,9
MUNCUSUNLUOGLU,9
TEKKAHVECI,9
ICSAYGILI,9
VERGULEN,9
INHISAR,9
CIKLAYAGCI,9
SIGINKAYA,9
DAHASERT,9
GUNESCI,9
IYIKIZ,9
OZESSIZ,9
DEMIRPALTA,9
ONDERCAN,9
SEYYATOGLU,9
OZHALILOGLU,9
ALPARA,9
HAVACEKEN,9
ILKBAN,9
BERENS,9
DARAKCILAR,9
KARISKAN,9
MAGAK,9
TEMERIT,9
GURERLER,9
BARUTCUOGULLARI,9
OZYAGMAN,9
AKARDAL,9
USTUNBASAK,9
TOLONALP,9
AKGAYA,9
UNLUCAKIR,9
KARABUDAKCI,9
YUKSEKTOROS,9
ELLEKOGLU,9
FERUZLUOGLU,9
GENCAVCI,9
ERDELIBASI,9
ANCGOR,9
SEZIM,9
INCELEN,9
CAMKOYLUOGLU,9
KARATASCIOGLU,9
PEKCAGLIYAN,9
COLAKYILMAZ,9
GUMUSDERELIOGLU,9
BASTAV,9
HAMLAMAZ,9
TABBAN,9
CAGANLAR,9
AZERITURK,9
GAYDALI,9
BALTOK,9
DEDEBAYRAKTAR,9
OZCEBER,9
BAYULKER,9
OGULUR,9
ERTULI,9
ERASLIMLI,9
TURKOSE,9
BESIRBELLIOGLU,9
PEKYOL,9
GOKBEK,9
GULENGEN,9
TUNCKILINC,9
ORAZALI,9
OSKE,9
K.KAHRAMAN,9
5.TEKGUL,9
PARKCIN,9
KOZKOR,9
YOLAGELMIS,9
DISA,9
SEMENI,9
DOGANKARACA,9
AYBICER,9
GOKGULU,9
KALECIGIL,9
BEKSON,9
DENERER,9
YEGULER,9
SANLICAN,9
SEVINDIROGLU,9
DERBAZOGLU,9
CAPKANER,8
YAVCINBAS,8
HASRIN,8
BASDINCER,8
DALLIAGAC,8
BUYUKTUNCEL,8
DUMKAN,8
ASIRLI,8
OKGUL,8
DIZAK,8
PALOLU,8
KURUMARAL,8
YILMAZDUR,8
MIRTOGLU,8
SAHINLIGIL,8
DOGANBATIR,8
ELKIRMIZI,8
ALPORTAKLI,8
OZZERMAN,8
ERNARICI,8
YILMAZDIL,8
KINTIS,8
MENGULTACI,8
TUTTOKMAGI,8
KISTILOGLU,8
CIVANOL,8
ZOPIRLI,8
GEDIKPINAR,8
ONUREL,8
KUCUKATABEY,8
AKCAALEV,8
YARLUGBAS,8
HORS,8
TIKMEN,8
OZDOLAMBAY,8
KILYUMAK,8
DENIZKIRANLAR,8
ELAHMED,8
ABDUSEMETOGLU,8
SEYFETINOGLU,8
KADDURE,8
ARTIKI,8
OZDIRIL,8
OYDAR,8
JACOB,8
BOZKRUT,8
SOHDO,8
AMNO,8
TASCIGEC,8
HAJO,8
ALIBRAHIM,8
GUDANOGLU,8
ISSA,8
HASSOUN,8
MARDILI,8
HAMURCULI,8
GECINMEZ,8
AYSACGUN,8
BUYUKPALTA,8
FINDIKAL,8
EFNAN,8
ALGINSAHIN,8
BOZBUGAN,8
ZIRVALIOGLU,8
PAZAROGULLARI,8
TABUG,8
SOLOGLU,8
AGCELI,8
SAHMETLIOGLU,8
INERCI,8
KURDBOGAN,8
ZAMAS,8
TEPETARLA,8
SENDUYAR,8
URAYVAZ,8
OZDENDIBI,8
SASMAZTURK,8
DEMIRSELCUK,8
PETROVA,8
KABISIZ,8
CIYUCI,8
CASIR,8
GUNDOGUSU,8
KARAABDULLAHOGLU,8
SUKRUOGULLARI,8
GOCSAN,8
KALADIN,8
ARZUMANOGLU,8
ERTEBER,8
GEH,8
ERSOGAN,8
HACIBESIROGLU,8
BILMEK,8
CUP,8
MURADOVA,8
IBRAGIMOVA,8
BENDELI,8
GIRASAN,8
ALARDIC,8
DAYANKOC,8
LEKESIZSOY,8
ERERDEN,8
CAMBASAN,8
DURIK,8
BERGANT,8
OZBERKSOY,8
GULASAN,8
OZHABIBOGLU,8
ERYELKOVAN,8
MALBASTI,8
GUZELSARAC,8
ATALER,8
HAZAVITLIGIL,8
CAGRANTAS,8
BASEVI,8
ULUISDEN,8
KIZILTEKE,8
HUSEYINPASAOGLU,8
HACISEKER,8
CUHNIYAOGLU,8
KOZIN,8
CIYAK,8
TASKELIK,8
GUNBELEK,8
GUNESDAG,8
INCEALTIN,8
HASANPASAOGLU,8
YALDIRGURSES,8
BUYIK,8
DOGUTURKU,8
KARADUVA,8
TASDANER,8
KEMIKTARAK,8
CIRTMEN,8
OZTURHALLI,8
LAFIS,8
TOMBARCI,8
PAKYAZICI,8
ERVAROL,8
SUTPISIREN,8
EBCIMOGLU,8
ARAPOGULLARI,8
ARABOGULLARI,8
MACCELOGLU,8
OZERKMAN,8
YELVE,8
GONCELI,8
OZDENCANLI,8
SATALOGLU,8
OLASUR,8
KETIK,8
UCARMURAT,8
ELICI,8
MASTIK,8
TARTILMIS,8
CAKON,8
NAZLIDIR,8
KUYMAT,8
GUVHAN,8
SALKAT,8
CIRAKOGULLARI,8
KULDAL,8
CIRTOGLU,8
YUMALOGLU,8
OZCUN,8
DOGBAY,8
IBITURK,8
FIDAYEO,8
TAKAZOGLU,8
CODOGLU,8
IMANOVA,8
DOYURUCUOGLU,8
ZENTAY,8
CHOUSEIN,8
HACIIMAMAGAOGLU,8
KULACAOGLU,8
SAYDIRIR,8
HEPVAROL,8
ERKENCIGIL,8
SETOGLU,8
CAPULACI,8
SETCEK,8
SIRAT,8
ARDUT,8
SOYERDIK,8
KIRVELIOGLU,8
HIRAN,8
ALMERCAN,8
ERSEYHAN,8
AKCEP,8
ASOY,8
DIKMENEL,8
FISCHER,8
OZKARAGUL,8
KOSTEOGLU,8
OZUKAYA,8
KILOCAK,8
KUZULCAN,8
OZBOZALP,8
MURPHY,8
OZCEREZCI,8
GURBANOVA,8
BAYIRYUZU,8
GOKDURUSU,8
UFACIKPUNAR,8
YALINCAKOGLU,8
TOPLUCAN,8
TEKINSEMSI,8
ARNIC,8
OZICKE,8
TOKMANAV,8
KALINYAZGAN,8
KOKILI,8
KURBANLIOGLU,8
KUTUKCUOGLUGIL,8
ALTUNTABAKLI,8
CULCUL,8
ACIBIYAN,8
BICAKCIO,8
COLMANOGLU,8
OZANKAN,8
RECEPLIOGLU,8
ERBAYLI,8
TONZA,8
ACIER,8
HUBBEZOGLU,8
CIKLACIFTCI,8
KONUKCUL,8
URBALI,8
BINYAR,8
CERTEN,8
BERINBE,8
HATAYSAL,8
PAKKUMSAL,8
YUKUYUS,8
SOYUGAZI,8
HUYUTEMIZ,8
KURMEK,8
ALTUNDISLI,8
NIELSEN,8
YOSLUM,8
KULTEKI,8
SIRATEPE,8
KEBANLIOGLU,8
TACCI,8
DUYKULU,8
KARADANE,8
BILICIOZU,8
KARASLI,8
CIFTCIEROGLU,8
KUCUKANT,8
EHSEN,8
BITMISOGLU,8
YEREVUR,8
MAHAR,8
INSANLIK,8
HANELCE,8
CUCEGOZ,8
SAVULUR,8
KATEKE,8
MANDIRAS,8
CELMECE,8
DADIK,8
KONUKBAY,8
DEMIRKAYALI,8
SIPSAL,8
KURCABEYLI,8
ERDANABAS,8
OZGUVENER,8
AKILLIGOZ,8
MUFTUOGLUGIL,8
BAYIRCIOGLU,8
KAVCIER,8
BEKYUREKOGLU,8
SALKAL,8
MULKCI,8
SITMASUYU,8
PEZUKLI,8
MORKOYUNCU,8
KARAOZKOK,8
KAMBIRIMER,8
ALPCI,8
DEMIRKAPAK,8
HORUMDUZU,8
KALKINCI,8
TILEC,8
ERCEKEN,8
COPALTIN,8
IKICAM,8
HAFIKLI,8
ZENGINCOBAN,8
DOKSOZLU,8
ELITEK,8
IRNAKOGLU,8
UZUNKOC,8
USTUNYURT,8
ALANBAYI,8
CILHA,8
YOROZLU,8
MENGUTURK,8
YESILDAGER,8
TOKLI,8
CAMNALBUR,8
CIRDAV,8
EBRUL,8
ALTUNBASOGLU,8
BEHLEVAN,8
SOHTOGLU,8
MEHMETNURIOGLU,8
CUVELEKOGLU,8
EBRUSUM,8
ONKALALI,8
YILISKAN,8
BOZOG,8
KUCUKHAS,8
OZLEMOGLU,8
KINDIKOGLU,8
KUCUKSULEYMAN,8
ICIR,8
BUZAGICIOGLU,8
ESENULKU,8
CANALIOGLU,8
YANKAZ,8
BAYTUNC,8
MEMEDOVA,8
HAMAMIZADE,8
EGETURK,8
ALHAZ,8
BUYUKPELIT,8
DOLEKBAS,8
ALTUNAYOGLU,8
ERKANAY,8
DEKKEOGLU,8
HACICAKIROGLU,8
AKNAZ,8
